Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Size category,Capital city,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,percentage situations
Pakistan,Protest against killing of blasphemy suspect,24-Oct,Partly Free,"The killing of Dr. Shahnawaz Kumbhar, who was in custody after being accused of blasphemy.",Condemn the killing of Kumbhar and demand a judicial inquiry into the situation. Call for the officers involved to be arrested and charged.,">1,000","Civil rights groups, including the Sindh Rawadari March Action Committee",3 weeks,"To prevent further demonstrations, the Karachi government imposed Section 144 of the Code of Criminal Procedure, which bans public assemblies for a limited period. At least one person was killed during a clash between counterprotesters and the police. On October 31, the Federal Investigation Agency filed a report to investigate the incident.",Thousands,Islamabad,0,0,0,0,0,0,0,0,0,"100,00%"
Tunisia,Protest against election manipulation,24-Sept,Partly Free,"The electoral commission rejected a ruling by the Administrative Court that reinstated three prominent candidates for the October 6 presidential election. Weeks later, Parliament introduced a bill to take away the Administrative Court's jurisdiction over electoral disputes.",Denounce actions of both the electoral commission and Parliament. Protesters believe President Kais Saied (who appointed members of the election commission) is trying to rig the presidential elections. Call for the end of Saied's authoritarian rule and the reinstatement of free and fair elections.,">1,000","Opposition, general public",5 weeks,"No policy/leadership change. On September 27, the Parliament approved the bill removing the Administrative Court's election authority. Saied was re-elected to a second term, winning over ninety percent of the vote.",Thousands,Tunis,0,0,X,0,0,0,0,0,0,"100,00%"
Democratic Republic of the Congo,Protest for release of political prisoners,24-Sept,Not Free,"Arrest of Seth Kikuni, one of three key opposition figures to be imprisoned in the DRC. The DRC also applied to be a member of the UN Human Rights Council in August 2024.","Call for the release of political prisoners, including three opposition figures (Kikuni, Jean-Marc Kabund, and Mike Mukebayi). Also call on the UN to reject the DRC's candidacy for the Human Rights Council.",>100,Opposition,1 day,No policy/leadership change.,Hundreds,Kinshasa,0,0,X,0,0,0,0,0,0,"10000,00%"
Peru,Strike against extortion,24-Sept,Partly Free,"Rising number of deaths in attacks against transportation workers, construction workers, and business owners connected to extortion from gangs.",Express anger over the government's indifference to the gang attacks and the government's inaction against growing crime.,">1,000","Bus drivers. Later, construction workers, transportation workers, and other trade unions also joined.",Active,The government declared a sixty-day state of emergency in twelve districts around Lima and dispatched armed forces to address the gang crimes.,Thousands,Lima,X,0,0,0,X,0,0,0,0,"100,00%"
India,Black Day labor protest,24-Sept,Partly Free,"In July 2024, the Union Ministry of Labour & Employment began efforts to implement four labor codes, which had been passed by Parliament in 2020. The labor codes condense forty-four preexisting labor laws.",Demand the repeal of the labor codes and the restoration of the original labor laws. Protesters are angry because they believe the government is acting in the interest of corporations and ignoring workers' rights.,">1,000",Labor unions,1 day,No policy/leadership change.,Thousands,New Delhi,0,X,0,0,0,0,0,0,0,"100,00%"
Ghana,Stop Galamsey protest,24-Sep,Free,Continued illegal mining (also known as galamsey) in Ghana.,"Protest against the government's poor handling of galamsey, which has caused significant environmental harm in Ghana. Also protest economic hardships.",>100,"Activist groups (Democracy Hub, FixTheCountry), Catholic parishioners",Active,"No policy/leadership change. As of September 25, the Ghanaian police had arrested over forty protesters, including the leader of Democracy Hub, Oliver Barker-Vormawor. During a demonstration on October 11, protesters handed a petition for a ban on informal mining to the president's office.",Hundreds,Accra,X,X,0,0,0,0,0,0,0,"10000,00%"
Ghana,Voter register irregularity protest,24-Sept,Free,"The main opposition party, the National Democratic Congress (NDC), accused the electoral commission of tampering with the voter register by illegally transferring voters to different stations, removing the names of eligible voters, and including the names of deceased voters.",Call for a forensic audit of the voter register. Demand free and fair elections for upcoming presidential and parliamentary contests in December 2024.,">100,000","Opposition, general public",1 day,No policy/leadership change. The election commission denied the allegations and stated that it had corrected all previously identified errors in the voter register.,Hundreds of thousands,Accra,0,0,X,X,0,0,0,0,0,"10000,00%"
Bolivia,March against President Luis Arce,24-Sept,Partly Free,"Arce accused former president Evo Morales of attempting to overthrow his government in a coup. In response, Morales called for his supporters to march against Arce.",Criticize Arce's government for its failure to fix Bolivia's economic crisis. Call for Arce's resignation. Show support for Morales.,">1,000",Supporters of Morales,2 days,"No policy/leadership change. On September 24, Morales made a twenty-four-hour ultimatum to reshuffle the cabinet, which the government rejected.",Thousands,La Paz,X,X,X,0,0,0,0,0,0,"100,00%"
Poland,“Stop Patowładzy” protest,24-Sept,Free,"Growing rifts between the current government and the nationalist-conservative opposition party, Law and Justice (PiS).","Assert that Prime Minister Donald Tusk’s government is violating the rule of law. Allege that the government is ""representing foreign interests"" and not acting in the interests of the Polish people.",">1,000",PiS party and supporters,1 day,No policy/leadership change.,Thousands,Warsaw,0,0,X,0,0,0,0,0,0,"100,00%"
India,Protest against ethnic violence,24-Sept,Partly Free,"Reignited ethnic violence between Hindu Meiteis and Christian Kukis in Manipur, India. Armed groups launched drone attacks that killed several civilians.",Call for the government to take action and end the ethnic conflict.,>100,Students,2 days,"On September 11, authorities imposed a curfew and shut down internet services in certain areas of Manipur. They restored the internet on September 16 and partially relaxed the curfew. Amit Shah, the minister for home affairs, announced that the government is holding peace talks with the Meitei and Kuki communities.",Hundreds,New Delhi,0,0,0,0,0,0,0,0,0,"10000,00%"
Afghanistan,Women's rights protest,24-Sept,Not Free,Growing repression of women's rights under Taliban rule.,Demand equal rights for men and women. Call on the international community to denounce the Taliban.,>10,Afghan Women's History Transformation Movement,1 day (30 minutes),No policy/leadership change.,Tens,Kabul,0,0,X,0,0,0,0,0,0,"1000,00%"
Australia,Farmers' protest,24-Sept,Free,"Australian government adopted new farming and environmental policies, including a ban on exports of live sheep, water usage restrictions, and construction of renewable power sources in rural areas.","Anger over the new policies, which many farmers argue are hurting them. Protesters also feel that the government is ignoring the demands of farmers and prioritizing the demands of activists instead.",>100,"Farmers, National Farmers' Federation (NFF)",1 day,"On September 23, Tony Mahar, the CEO of the NFF, was appointed as the new Australian energy infrastructure commissioner. No policy changes have been made.",Hundreds,Canberra,0,X,0,0,0,0,0,0,0,"10000,00%"
Taiwan,Little Sprouts protest,24-Sept,Free,"Ko Wen-je, the former mayor of Taipei, was re-arrested as part of an ongoing investigation over allegations of corruption. His political party, the Taiwan People's Party (TPP), called for a rally in support of Ko.",Demand Ko's release. Protesters proclaim Ko's innocence and believe that President Lai Ching-te's administration is prosecuting Ko for political reasons.,">10,000","TPP supporters (called ""Little Sprouts"")",2 days,No policy/leadership change.,Tens of thousands,Taipei,0,0,X,0,0,0,0,0,0,"1000,00%"
Brazil,Protest against ban on X,24-Sept,Free,Brazil's nationwide ban on X. Former president Jair Bolsonaro called for a protest in response.,Protest the ban on X. Claim that the ban is an example of the government oppressing the right. Push for freedom of speech.,">1,000",Supporters of Bolsonaro,1 day,"No policy/leadership change.  On October 8, the Supreme Court authorized the restoration of X in Brazil after the platform complied with the court's demands.",Thousands,Brasília,0,0,X,0,0,0,0,0,0,"100,00%"
France,Protest against the appointment of Michel Barnier,24-Sept,Free,"President Emmanuel Macron appointed Barnier, a center-right politician, as the new prime minister of France.","Anger over Barnier's appointment. Protesters feel that Macron ignored the recent election results and ""stole"" the election by appointing a conservative prime minister.",">10,000","Opposition, general public",1 day,No policy/leadership change.,Tens of thousands,Paris,0,0,X,0,0,0,0,0,0,"1000,00%"
Botswana,Protest against executive powers bill,24-Sept,Free,Parliament voted on a constitutional amendment that would allow the president to appoint key civil servants.,"Protest the passage of the amendment, which protesters argue will grant the president too much power.",">1,000","Opposition, civil society groups",1 day,Opposition legislators walked out of Parliament in protest. The amendment failed to pass through Parliament as it did not receive enough votes.,Thousands,Gaborone,0,0,X,0,X,0,0,0,0,"100,00%"
Colombia,Trucker road blockades,24-Aug,Free,"In an effort to phase out fuel subsidies, the government raised diesel prices by fifty cents per gallon.","Protest fuel price increase, which truckers argue would be a severe economic burden.",>100,Truckers,6 days,"On September 6, the government came to an agreement with truckers' unions to gradually implement a lower increase in fuel prices by the end of the year.",Hundreds,Bogotá,0,X,0,0,X,0,0,0,0,"10000,00%"
Argentina,Pension protest,24-Aug,Free,President Javier Milei announced his plan to veto a bill that would increase pensions in line with the inflation rate.,"Anger over Milei's decision, especially amid the severe economic struggles that citizens are facing as a result of Milei's austerity laws.",">1,000",Pensioners,2 weeks,No policy/leadership change. Congress upheld Milei's veto.,Thousands,Buenos Aires,0,X,0,0,0,0,0,0,0,"100,00%"
Pakistan,Protest against e-transfer policy,24-Aug,Partly Free,"The Higher Education Department (HED) announced an e-transfer policy on August 6, 2024. According to the HED, the goal of this policy is to create transparency during the HED's efforts to transfer professors to understaffed schools in remote regions.","Criticize the new transfer system, the relocation of assistant professors, and the filling of vacant teaching positions. Arguing that promotions should be within the same school and separated from the e-transfers. Also protest how poorly the HED handled various issues reported by professors.",">1,000",College professors and lecturers,1 week,No policy/leadership change. The HED and Punjab Professors and Lecturers Association (PPLA) formed a six-person committee to address the dislocation of assistant professors.,Thousands,Islamabad,0,0,0,0,0,0,0,0,0,"100,00%"
Indonesia,Local election law protests,24-Aug,Partly Free,The House of Representatives' Legislative Body (Baleg) drafted revisions to local election laws that would overturn two rulings from the Constitutional Court: one that lowered the threshold for parties to nominate candidates in local leadership positions and another that raised the minimum age of candidates for governorship or deputy governorship to thirty years of age.,"Protest the Baleg's revisions, which were seen as a way to increase outgoing President Joko Widodo's political power and to exclude the opposition party from Jakarta's regional government. Protesters also believe these revisions hold heavy implications for Indonesia's democracy.",">1,000","Youth, general public",1 week,"In response to the widespread protests, the Indonesian Parliament postponed its scheduled vote for the revisions on August 22. On August 25, the House of Representatives and the General Elections Commission (KPU) revised the KPU election regulation to uphold the rulings of the Constitutional Court.",Thousands,Jakarta,0,0,X,0,X,0,0,0,0,"100,00%"
Tanzania,Protest by Maasai people,24-Aug,Partly Free,"The National Electoral Commission announced a new National Election Plan for the upcoming October 2025 elections, which dissolved various districts, villages, and hamlets, including villages in the Ngorongoro regions.","Protest the dissolvement of Ngorongoro villages, which demonstrators claim is a way for the government to disenfranchise the Maasai people and to pass laws that will force the community out of the region. The protest is part of a larger series of demonstrations for land rights and basic services, brought on by the government's ongoing plan to relocate the Maasai people out of Ngorongoro.",>100,"Maasai people in Ngorongoro, Tanzania",1 day,"On August 22, the High Court in Arusha issued an injunction against the dissolution of districts, villages, and hamlets. On September 16, the minister of state, Mohamed Mchengerwa, announced the new electoral boundaries for the local government elections, which reinstated the status of Ngorongoro's villages.",Hundreds,Dodoma,0,0,X,0,X,0,0,0,0,"10000,00%"
India,Doctors' protests,24-Aug,Partly Free,Rape and murder of a female trainee doctor at the R.G. Kar Medical College and Hospital in Kolkata.,"Demand justice for the victim and increased security for health workers, particularly women. Also criticize local police and administration over how they handled the case.",">1,000","Medical workers, women",Active,"The Supreme Court established a National Task Force to investigate security issues in health facilities and propose new safety protocols. Protesting doctors in Kolkata also met with the Chief Minister of West Bengal, Mamata Banerjee, to discuss their demands for increased safety. In September 2024, the West Bengal Legislative Assembly passed the Aparajita Women and Child Bill, which set stricter penalties for people convicted of rape. Many criticized this bill for being a shallow and rushed solution to the issue of rape in the country.",Thousands,New Delhi,X,0,0,0,0,0,0,0,0,"100,00%"
Bulgaria,Protest against anti-LGBTQ+ amendments,24-Aug,Free,"The Bulgarian Parliament passed two amendments to the education code that banned LGBTQ+ ""propaganda"" in schools.","Demand that President Rumen Radev veto the amendments, which protesters and international organizations argue will increase political attacks against LGTBQ+ people. Also demand Radev's resignation.",>100,LGBTQ+ rights activists,1 day,No policy/leadership change.Radev did not veto the amendments.,Hundreds,Sofia,0,0,X,0,0,0,0,0,0,"10000,00%"
Australia,Protest against Cambodia-Laos-Vietnam Development Triangle Area (CLV-DTA),24-Aug,Free,"Arrest of three Cambodian activists who shared concerns over the CLV-DTA, an economic agreement between Cambodia, Laos, and Vietnam.","Overseas Cambodians are demanding that Cambodia withdraw from the CLV-DTA, which they believe will cause Cambodia to lose territorial sovereignty to Vietnamese or Lao investors. They are also concerned about potential influx of immigrants from Vietnam, which Cambodia has historically had negative relations with.",>100,Cambodians in Australia,1 day,"The Cambodian government threatened further arrests of activists in Cambodia and blocked a similar protest from occuring in Phnom Penh, Cambodia. On September 20, Prime Minister Hun Manet announced that Cambodia had withdrawn from the CLV-DTA.",Hundreds,Canberra,0,0,X,0,X,0,0,0,0,"10000,00%"
Japan,Protest against Cambodia-Laos-Vietnam Development Triangle Area (CLV-DTA),24-Aug,Free,"Arrest of three Cambodian activists who shared concerns over the CLV-DTA, an economic agreement between Cambodia, Laos, and Vietnam.","Overseas Cambodians are demanding that Cambodia withdraw from the CLV-DTA, which they believe will cause Cambodia to lose territorial sovereignty to Vietnamese or Lao investors. They are also concerned about potential influx of immigrants from Vietnam, which Cambodia has historically had negative relations with.",>100,Cambodians in Japan,1 day,"The Cambodian government threatened further arrests of activists in Cambodia and blocked a similar protest from occuring in Phnom Penh, Cambodia. On September 20, Prime Minister Hun Manet announced that Cambodia had withdrawn from the CLV-DTA.",Hundreds,Tokyo,0,0,X,0,X,0,0,0,0,"10000,00%"
South Korea,Protest against Cambodia-Laos-Vietnam Development Triangle Area (CLV-DTA),24-Aug,Free,"Arrest of three Cambodian activists who shared concerns over the CLV-DTA, an economic agreement between Cambodia, Laos, and Vietnam.","Overseas Cambodians are demanding that Cambodia withdraw from the CLV-DTA, which they believe will cause Cambodia to lose territorial sovereignty to Vietnamese or Lao investors. They are also concerned about potential influx of immigrants from Vietnam, which Cambodia has historically had negative relations with.",>100,Cambodians in South Korea,1 day,"The Cambodian government threatened further arrests of activists in Cambodia and blocked a similar protest from occuring in Phnom Penh, Cambodia. On September 20, Prime Minister Hun Manet announced that Cambodia had withdrawn from the CLV-DTA.",Hundreds,Seoul,0,0,X,0,X,0,0,0,0,"10000,00%"
Mexico,Judicial reform protest,24-Aug,Partly Free,"Former president Andrés Manuel López Obrador's proposed judicial reform bill, which would require all judges to be elected by popular vote. The reform also lowers the number of Supreme Court justices to eleven, shortens their terms to twelve years, and reduces the required years of experience to five.","Protest against passage of reform bill, which many believe threatens Mexico's judicial independence and checks and balances system.",">1,000","Judicial employees, law students",Active,"The bill was passed in the lower house of Mexico's legislature on September 6, then passed in the Senate on September 11. The reforms formally took effect on September 15. On October 28, the Supreme Court published a proposal to invalidate certain aspects of the reform. On October 30, eight of the eleven Supreme Court judges resigned from their positions and refused to participate in the upcoming judicial elections.",Thousands,Mexico City,X,0,X,0,0,0,0,0,0,"100,00%"
Kosovo,Protest against opening Mitrovica bridge,24-Aug,Partly Free,Prime Minister Albin Kurti told Western diplomats that he would reopen the main bridge in the city of Mitrovica for vehicle traffic.,"Claim that reopening the bridge will provoke conflict and place the Serbs in northern Kosovo at risk of ethnic cleansing. Protesters have specified that they are criticizing Kurti's government, not the Albanian people (with whom they want to maintain peace).",>100,Serbs in northern Kosovo,1 day,"No policy/leadership change. International actors (e.g., NATO, Serbia, the United States) have called for Kosovo to refrain from opening the bridge, as it may create further tension in the region.",Hundreds,Pristina,0,0,X,0,0,0,0,0,0,"10000,00%"
Bangladesh,Protest over violence against Hindus,24-Aug,Partly Free,"Growing number of attacks against Hindus and the destruction of Hindu houses, businesses, and temples after former prime minister Sheikh Hasina's resignation.","Demand action against the attacks and vandalism. Call for the creation of a ministry for minority affairs, reserved seats for minorities, and a minority protection law. Also demand to meet with student protest leaders.",">1,000",Bangladeshi Hindus,Active,"On August 11, the interim government announced that it would work with representatives of the Hindu community to resolve the violence. On September 11, Chief Advisor Muhammad Yunus made a televised speech calling for ""religious harmony.""",Thousands,Dhaka,X,0,X,0,0,0,0,0,0,"100,00%"
Nigeria,End Bad Governance protest,24-Aug,Partly Free,Inspired by the finance bill protests in Kenya. Growing economic hardship; inflation rate in July 2024 was the highest it had been in Nigeria in twenty-eight years.,"Protesting President Bola Tinubu's economic reforms, which have included ending currency controls, higher interest rates, and partial removal of electricity and fuel subsidies. Protestors view Tinubu's reforms as imposing unnecessary economic hardship on ordinary citizens.",">100,000",General public,Ten days,"No policy/leadership change. Tinubu made a televised address calling for an end to the protests and offering to open up dialogue with demonstrators. According to Amnesty International, twenty-two protestors were killed. On September 2, ten protestors were charged with treason.",Hundreds of thousands,Abuja,0,X,0,0,0,X,X,0,0,"10000,00%"
Venezuela,Presidential election protest,24-July,Not Free,National Electoral Council (NEC) announced that President Nicolas Maduro has been re-elected to a third consecutive term.,"Protesting the election results, which many people--both within and outside Venezuela--believe were falsified. Calling for the NEC to release voting records and demanding that Maduro be removed from power.",">1,000","Opposition, general public",1 month,"No policy/leadership change. Authorities have cracked down on the protests, leading to the death of at least twenty-three protestors or bystanders and one soldier, according to Human Rights Watch.",Thousands,Caracas,0,0,X,X,0,0,X,0,0,"100,00%"
Pakistan,Protest by Baloch ethnic group,24-July,Partly Free,Arrests of Baloch people and growing exploitation of resources.,"Protesting the oppression and mistreatment of the Baloch ethnic minority group by Pakistani government. Also protesting the exploitation of resources in the region of Balochistan, as the city of Gwadar has been used as a key port city for China's Belt and Road Initiative.",">10,000","Baloch community, Baloch Yakjehti Committee (BYC)",2 weeks,"At least three protestors and one Pakistani solider were killed. The Balochistan government agreed to meet the protestors' demands, which included the release of detained activists.",Tens of thousands,Islamabad,0,0,0,0,0,0,X,0,0,"1000,00%"
Bangladesh,Job quota protest,24-July,Partly Free,Dhaka court reinstated quota for government jobs (previously abolished in 2018 due to student protests).,"Pushing the government to abolish the quota, which reserves thirty percent of government jobs to family members of those who fought in Bangladesh’s independence movement, and demanding that the govern select candidates on merit. Protestors believe that the quota is discriminatory because it disproportionally benefits supporters the Awami League party, which led the independence movement.",">10,000",Students,1 month in July 2024; 1 day in September 2024 to mark the one-month anniversary of former prime minister Sheikh Hasina's resignation.,"On July 22, the Supreme Court ruled that the war veterans' quota be reduced to five percent. The government accepted the ruling the next day on July 23. More than 250 people, including protestors and police were killed during the protests. On August 5, protestors overran the prime minister's palace and Prime Minister Hasina resigned from her position and fled the country, ending her fifteen-year rule.",Tens of thousands,Dhaka,0,X,0,0,X,0,X,0,0,"1000,00%"
Mauritania,Presidential election protest,24-July,Partly Free,Reelection of President Mohamed Ould Ghazouani.,"Protestors believe the election results were falsified--a claim also supported by the rival candidate, Biram Dah Abeid--and reject Ghazouani's reelection. Ghazouani's opponents have accused him of corruption and mismanagement, though others view him as a beacon of stability.",>100,"Opposition, general public",3 days,Authorities blocked mobile internet access on the second day of the protests and detained an unknown number of protestors. Three protestors were killed. The elections results have been upheld.,Hundreds,Nouakchott,0,0,X,X,0,0,X,0,0,"10000,00%"
Uganda,Anti-corruption protest,24-July,Not Free,"Allegations of corruption against Parliament Speaker, Anita Among. Also inspired by the Finance Bill protests in Kenya.",Protesting against government corruption and alleged human rights abuses. President Yoweri Museveni has long been accused of failing to prosecute senior officials over corrupt activities such as embezzlement and misuse of government funds.,>100,"General public, youth",2 days (July 23 and July 25),No policy/leadership change. Security forces were deployed to surround the headquarters of the main opposition party before the protests began. Amensty International reported that over 100 protesters were arrested.,Hundreds,Kampala,0,0,X,X,0,0,0,0,0,"10000,00%"
Pakistan,Bannu peace march,24-July,Partly Free,"Militant attack in Bannu on July 15th, which killed eight people.",Initially protesting against Pakistan's military operation to root out militants along Afghan border. Protestors are demanding peace after twenty years of military operations in the region. Also protesting the actions of the Pakistani military after they fired on protestors.,">10,000",General public,1 week in July 2024; 1 day in October 2024,"The Pakistani military opened fire on protesters, leading to the death of at least one person. On July 26, Khyber Pakhtunkhwa Chief Minister Ali Amin Gandapur announced that there would be no military operation in the region. Following protesters' requests, the regional government also requested a judicial inquiry into the shooting incident that occurred during the protests.",Tens of thousands,Islamabad,0,0,X,0,X,0,0,0,0,"1000,00%"
Russia,Power cut protest,24-July,Not Free,Southern Russia has been increasingly experiencing power cuts and water supply interruptions during the summer.,Protestors are demanding that the government restore their utilities and provide electricity for at least three hours a day.,>100,General public,1 day,Local governor Veniamin Kondratyev promised to ensure the supply of water and explained that the power outages were due to the heatwaves.,Hundreds,Moscow,0,0,0,0,0,0,0,0,0,"10000,00%"
